text,final_sentiment
"['bikin', 'pengin', 'beli', 'mcdonalds']",-1
"['orang', 'post', 'boikotin', 'orang', 'langsung', 'influence', 'orang', 'beli', 'post', 'iya', 'minum', 'sbuck', 'mcdonalds', 'apa', 'sekarang', 'boikotin', 'hak', 'makan', 'influence', 'orang', 'laku']",-1
"['bayang', 'nih', 'yaw', 'support', 'idol', 'finansial', 'yaw', 'pakai', 'duit', 'jajan', 'mcdonalds', 'starbucks', 'sedantidakan', 'pro', 'hindarin', 'palestina', 'marah', 'gua', 'sih', 'marah', 'yaw', 'marah', 'nih', 'yaw', 'coba', 'pergi', 'kalauinik', 'psikolog', 'psikiater', 'mcdonalds', 'rasa', 'efek', 'kompak', 'boikot']",1
"['gerak', 'boikot', 'usaha', 'franchise', 'alam', 'rugi']",-1
"['beli', 'ubah', 'kentang', 'kopi', 'ayo', 'tugas', 'float', 'boikot', 'subuh', 'core', 'kampus', 'modal', 'mcdonalds', 'memories', 'mcdonalds', 'ngerjain']",-1
"['pure', 'tanya', 'benar', 'malu', 'temenku', 'masuk', 'ditanyain', 'boikot', 'kayak', 'post', 'aktif', 'bingung', 'campaign', 'manusia', 'list', 'tanya', 'mcdonalds', 'kecewa', 'ngejek', 'bts']",1
"['mekdionalds', 'id', 'boikot', 'mcdonalds', 'rasa', 'efek', 'kompak', 'boikot']",1
"['boikot', 'boicotin', 'kerja', 'bareng', 'mcdonalds', 'ih']",1
"['iphone', 'starbucks', 'meleis', 'yada', 'lambang', 'kepci', 'mcdonalds', 'beli', 'yada', 'kennot', 'kaya']",-1
"['pikir', 'bom', 'kayak', 'mcdonalds', 'boikot', 'kasih', 'deh', 'mcdonalds', 'israel', 'sana', 'kampanye', 'ajak', 'orang', 'orang']",1
"['sorry', 'mcdonalds', 'list', 'boicotin', 'ya', 'april', 'kalauo', 'taehyung', 'hapus', 'drtd', 'tae', 'aktiv', 'ig', 'mcdonalds', 'rasa', 'efek', 'kompak', 'boicot']",1
"['makan', 'propaganda', 'zionis', 'rilis', 'statement', 'palsu', 'jual', 'turun', 'imbas', 'mas', 'beli', 'literasi', 'portal', 'berita', 'berita', 'mcdonalds', 'sumbang', 'makan', 'tentara', 'israel', 'bukti', 'kuat', 'postingan']",-1
"['sorot', 'selesai', 'gampang', 'sih', 'pakai', 'orang', 'hatersnya', 'protes', 'diam', 'makan', 'utube', 'protes', 'beli', 'abisa', 'kedapetan', 'beli', 'susah', 'sb', 'kenapa', 'dapat', 'mcdonalds', 'barang', 'fastfood', 'coba', 'iphone', 'saja', 'iya', 'pakai', 'kok', 'memang', 'iya', 'sih', 'adidas', 'google', 'blagi']",1
"['tau', 'kak', 'nerapin', 'boikot', 'negara', 'dasar', 'tone', 'deaf', 'menyantidakut', 'bangtan', 'pikir', 'disalahin', 'denial', 'army', 'inter', 'bilang', 'mcdonalds', 'dilist', 'boikot']",1
"['tuju', 'boikot', 'ekonomi', 'daerah', 'dampak', 'negatif']",-1
"['rasa', 'gila', 'bela', 'army', 'donasi', 'gila', 'gila', 'mcdonalds', 'kompak', 'bela', 'lihat', 'efek', 'taehyung', 'mcdonalds', 'boikotin', 'boikot']",1
"['stop', 'boykat', 'google', 'boikot', 'starbucks', 'service', 'boikot', 'fb', 'boikot', 'mcdonalds', 'meta', 'fomo', 'wa', 'ig', 'nanggung', 'halah', 'nivea', 'apps', 'pakai']",1
"['iya', 'april', 'kemarin', 'rame', 'mcdonalds', 'announced', 'pro', 'isrl', 'akibat', 'buntut', 'beli', 'diberitain', 'cnbc', 'bbc', 'indonesia', 'muntidakin', 'benar', 'tentang', 'berita']",-1
"['orang', 'mcdonalds', 'berlumba', 'nak', 'ayo', 'boikot', 'ubah', 'iphone', 'boikotin', 'ttidak', 'orang', 'dkt', 'beli', 'tiktok', 'apple']",-1
"['boikot', 'mcdonaldsi', 'kontraproduktif', 'ekonomi', 'daerah', 'paksa', 'tutup']",-1
"['tau', 'boikot', 'bikin', 'repot', 'produk', 'unilever', 'boikot', 'produk', 'kayak', 'mcdonalds', 'starbucks', 'mcdonalds', 'rasa', 'efek', 'kompak', 'boikot']",1
"['pengin', 'beli', 'mcflurry']",-1
"['gerak', 'boikot', 'karyawan', 'alam', 'turun']",-1
"['mcdonalds', 'ayo', 'nih', 'boikot', 'makalauum', 'harap', 'itu', 'boikot', 'mcdonalds', 'ubah', 'saja', 'ayam']",1
"['hai', 'pakai', 'tag', 'dear', 'posting', 'mcdonalds', 'instagramnya', 'shock', 'sih', 'army', 'tengah', 'orang', 'boikotin', 'mcdonalds', 'produk', 'kait', 'usaisrael', 'ayo', 'boikot', 'mcdonalds', 'ubah']",1
"['ayo', 'minggu', 'ubah', 'mcdonalds', 'boikot', 'simpang', 'penuh', 'boikot', 'iya', 'benar', 'loh', 'mcdonalds', 'malam', 'gilasih', 'parkir']",1
"['apateu', 'tahi', 'boikot', 'boikot', 'apateu', 'bangsat', 'kucing', 'apateu']",1
"['buka', 'boikot', 'beli', 'mcdonalds', 'kabur', 'bawa', 'pegawai', 'nya', 'bawa', 'mesin', 'kasir', 'isi', 'duit', 'sadar', 'dukung', 'produk', 'lokal']",-1
"['selective', 'boikot', 'lemah', 'boikot', 'lemah', 'lemah', 'tengok', 'gambar', 'nih', 'pergi', 'lah', 'sapot', 'mcdonalds', 'hang', 'tuh', 'hang', 'duit', 'royalti', 'mcdonalds', 'htetapstcofirzhilm', 'ayo', 'boikot', 'mcdonalds', 'ubah']",1
"['boikot', 'mcdonaldsi', 'kontraproduktif', 'lapang', 'kerja', 'ancam', 'phk']",-1
"['boikot', 'lebay', 'aman', 'htetapstcowhihhpiuct', 'sadar', 'malu', 'hindarin', 'produk', 'bilang', 'aman', 'indonesia', 'suara', 'lihat', 'dukung', 'lokal', 'orang', 'mcdonalds']",1
"['kasihan', 'sih', 'bodo', 'sodara', 'bangsa', 'kerja', 'sih', 'mcdonalds', 'apa', 'beli', 'hamas', 'sodara', 'tanah', 'air']",-1
"['rugi', 'boikot', 'usaha', 'franchise', 'akibat', 'turun', 'produktivitas']",-1
"['mcdonalds', 'ngikalauan', 'ingat', 'ngikut', 'aespa', 'kaget', 'bisa', 'boikot', 'orang', 'gerak', 'minimal', 'maksa', 'iya', 'tiba']",1
"['tuju', 'boikot', 'usaha', 'franchise', 'hilang', 'dapat']",-1
"['aduh', 'cinta', 'vinyl', 'boikot', 'ayo', 'boikot', 'mcdonalds', 'ubah']",1
"['lah', 'campagne', 'deh', 'bo', 'saja', 'en', 'ai', 'les', 'larmes', 'au', 'yeux', 'ayo', 'boikot', 'mcdonalds', 'ubah']",1
"['drpada', 'ribut', 'mending', 'ikut', 'naikin', 'hati', 'nya', 'hari', 'naik', 'hati', 'boikot', 'adidas', 'naik', 'hati', 'boikot', 'disneymcdagensi', 'hdpkn', 'alarm', 'biar', 'ktingglan', 'cek', 'hati', 'dgunakan', 'tweet', 'dibwah', 'htetapstcozzaipidt']",1
"['diindo', 'doang', 'salah', 'mcdonalds', 'indonesia', 'doang', 'boikot', 'sadar', 'dukung', 'produk', 'lokal']",1
